ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:1903977	positive regulation of glial cell migration	1/79	11/18800	0.0452761527023383	0.240555364509688	0.202514994330088	CX3CR1	1
GO:2000668	regulation of dendritic cell apoptotic process	1/79	11/18800	0.0452761527023383	0.240555364509688	0.202514994330088	LILRB1	1
GO:2001204	regulation of osteoclast development	1/79	11/18800	0.0452761527023383	0.240555364509688	0.202514994330088	LILRB1	1
GO:2001223	negative regulation of neuron migration	1/79	11/18800	0.0452761527023383	0.240555364509688	0.202514994330088	ADGRG1	1
GO:0048144	fibroblast proliferation	2/79	81/18800	0.0456337233624522	0.241720449810807	0.203495838152179	PDGFRB/CD300A	2
GO:1901654	response to ketone	3/79	190/18800	0.0459536809215174	0.242679861784932	0.204303532925048	PTGER4/AKR1C3/THBS1	3
GO:0014910	regulation of smooth muscle cell migration	2/79	83/18800	0.0476745575787754	0.246170205397105	0.207241928908318	PDGFRB/ADAMTS1	2
GO:0030641	regulation of cellular pH	2/79	83/18800	0.0476745575787754	0.246170205397105	0.207241928908318	SLC4A10/TMEM106B	2
GO:0045921	positive regulation of exocytosis	2/79	83/18800	0.0476745575787754	0.246170205397105	0.207241928908318	FGR/ITGAM	2
GO:0010921	regulation of phosphatase activity	2/79	84/18800	0.0487073602047125	0.246170205397105	0.207241928908318	PDGFRB/CD300A	2
GO:0002424	T cell mediated immune response to tumor cell	1/79	12/18800	0.049290372934203	0.246170205397105	0.207241928908318	IL4I1	1
GO:0006568	tryptophan metabolic process	1/79	12/18800	0.049290372934203	0.246170205397105	0.207241928908318	IL4I1	1
GO:0010455	positive regulation of cell fate commitment	1/79	12/18800	0.049290372934203	0.246170205397105	0.207241928908318	IL23R	1
GO:0030656	regulation of vitamin metabolic process	1/79	12/18800	0.049290372934203	0.246170205397105	0.207241928908318	AKR1C3	1
GO:0032823	regulation of natural killer cell differentiation	1/79	12/18800	0.049290372934203	0.246170205397105	0.207241928908318	TOX	1
GO:0032908	regulation of transforming growth factor beta1 production	1/79	12/18800	0.049290372934203	0.246170205397105	0.207241928908318	THBS1	1
GO:0043312	neutrophil degranulation	1/79	12/18800	0.049290372934203	0.246170205397105	0.207241928908318	ITGAM	1
GO:0043380	regulation of memory T cell differentiation	1/79	12/18800	0.049290372934203	0.246170205397105	0.207241928908318	IL23R	1
GO:0044771	meiotic cell cycle phase transition	1/79	12/18800	0.049290372934203	0.246170205397105	0.207241928908318	CDC25B	1
GO:0060907	positive regulation of macrophage cytokine production	1/79	12/18800	0.049290372934203	0.246170205397105	0.207241928908318	LILRB1	1
GO:0071635	negative regulation of transforming growth factor beta production	1/79	12/18800	0.049290372934203	0.246170205397105	0.207241928908318	LILRB1	1
GO:0072537	fibroblast activation	1/79	12/18800	0.049290372934203	0.246170205397105	0.207241928908318	PDGFRB	1
GO:1900272	negative regulation of long-term synaptic potentiation	1/79	12/18800	0.049290372934203	0.246170205397105	0.207241928908318	CX3CR1	1
GO:1901029	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	1/79	12/18800	0.049290372934203	0.246170205397105	0.207241928908318	SLC25A4	1
GO:1901524	regulation of mitophagy	1/79	12/18800	0.049290372934203	0.246170205397105	0.207241928908318	SLC25A4	1
GO:0035023	regulation of Rho protein signal transduction	2/79	87/18800	0.0518542885499126	0.251423570028292	0.211664549499911	PDGFRB/ADGRG1	2
GO:0050864	regulation of B cell activation	3/79	200/18800	0.0520900049509418	0.251423570028292	0.211664549499911	THEMIS2/CD300A/IL4I1	3
GO:0002764	immune response-regulating signaling pathway	5/79	482/18800	0.0522234092164036	0.251423570028292	0.211664549499911	FGR/THEMIS2/FCGR3A/CD300A/LILRB1	5
GO:1901888	regulation of cell junction assembly	3/79	201/18800	0.0527245148345426	0.251423570028292	0.211664549499911	LRRN3/CLSTN3/THBS1	3
GO:0007029	endoplasmic reticulum organization	2/79	88/18800	0.0529191576026262	0.251423570028292	0.211664549499911	ESYT2/SEC31B	2
GO:0031110	regulation of microtubule polymerization or depolymerization	2/79	88/18800	0.0529191576026262	0.251423570028292	0.211664549499911	SLAIN1/GAS2L1	2
GO:0042113	B cell activation	4/79	336/18800	0.0530579200071545	0.251423570028292	0.211664549499911	THEMIS2/CD86/CD300A/IL4I1	4
GO:0002524	hypersensitivity	1/79	13/18800	0.0532879277850763	0.251423570028292	0.211664549499911	FCGR3A	1
GO:0007144	female meiosis I	1/79	13/18800	0.0532879277850763	0.251423570028292	0.211664549499911	CDC25B	1
GO:0021819	layer formation in cerebral cortex	1/79	13/18800	0.0532879277850763	0.251423570028292	0.211664549499911	ADGRG1	1
GO:0021859	pyramidal neuron differentiation	1/79	13/18800	0.0532879277850763	0.251423570028292	0.211664549499911	SLC4A10	1
GO:0021978	telencephalon regionalization	1/79	13/18800	0.0532879277850763	0.251423570028292	0.211664549499911	ADGRG1	1
GO:0030836	positive regulation of actin filament depolymerization	1/79	13/18800	0.0532879277850763	0.251423570028292	0.211664549499911	DSTN	1
GO:0042492	gamma-delta T cell differentiation	1/79	13/18800	0.0532879277850763	0.251423570028292	0.211664549499911	SOX13	1
GO:0043379	memory T cell differentiation	1/79	13/18800	0.0532879277850763	0.251423570028292	0.211664549499911	IL23R	1
GO:0072520	seminiferous tubule development	1/79	13/18800	0.0532879277850763	0.251423570028292	0.211664549499911	ADGRG1	1
GO:0072540	T-helper 17 cell lineage commitment	1/79	13/18800	0.0532879277850763	0.251423570028292	0.211664549499911	IL23R	1
GO:1900242	regulation of synaptic vesicle endocytosis	1/79	13/18800	0.0532879277850763	0.251423570028292	0.211664549499911	PPP3CC	1
GO:1903599	positive regulation of autophagy of mitochondrion	1/79	13/18800	0.0532879277850763	0.251423570028292	0.211664549499911	SLC25A4	1
GO:2001198	regulation of dendritic cell differentiation	1/79	13/18800	0.0532879277850763	0.251423570028292	0.211664549499911	LILRB1	1
GO:0019722	calcium-mediated signaling	3/79	202/18800	0.0533627828835792	0.251423570028292	0.211664549499911	CX3CR1/PPP3CC/NCALD	3
GO:0017157	regulation of exocytosis	3/79	204/18800	0.0546505540628199	0.251849019694639	0.2120227204222	FGR/ITGAM/CD300A	3
GO:0060191	regulation of lipase activity	2/79	90/18800	0.0550722358734718	0.251849019694639	0.2120227204222	CD86/PDGFRB	2
GO:0014909	smooth muscle cell migration	2/79	91/18800	0.0561602805782103	0.251849019694639	0.2120227204222	PDGFRB/ADAMTS1	2
GO:0035304	regulation of protein dephosphorylation	2/79	91/18800	0.0561602805782103	0.251849019694639	0.2120227204222	PDGFRB/CD300A	2
GO:0097306	cellular response to alcohol	2/79	91/18800	0.0561602805782103	0.251849019694639	0.2120227204222	PTGER4/AKR1C3	2
GO:0001771	immunological synapse formation	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	PRF1	1
GO:0006586	indolalkylamine metabolic process	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	IL4I1	1
GO:0010752	regulation of cGMP-mediated signaling	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	THBS1	1
GO:0032486	Rap protein signal transduction	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	RAP2B	1
GO:0032688	negative regulation of interferon-beta production	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	LILRB1	1
GO:0033004	negative regulation of mast cell activation	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	CD300A	1
GO:0035791	platelet-derived growth factor receptor-beta signaling pathway	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	PDGFRB	1
GO:0043301	negative regulation of leukocyte degranulation	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	CD300A	1
GO:0043374	CD8-positive, alpha-beta T cell differentiation	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	TOX	1
GO:0045059	positive thymic T cell selection	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	TOX	1
GO:0051764	actin crosslink formation	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	GAS2L1	1
GO:0051917	regulation of fibrinolysis	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	THBS1	1
GO:0060347	heart trabecula formation	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	ADAMTS1	1
GO:0060732	positive regulation of inositol phosphate biosynthetic process	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	CD244	1
GO:0070307	lens fiber cell development	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	BFSP1	1
GO:0090715	immunological memory formation process	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	IL23R	1
GO:1902043	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	THBS1	1
GO:2000318	positive regulation of T-helper 17 type immune response	1/79	14/18800	0.0572688855593336	0.251849019694639	0.2120227204222	IL23R	1
GO:0016051	carbohydrate biosynthetic process	3/79	209/18800	0.0579350482349449	0.251849019694639	0.2120227204222	CD244/B3GALT2/ST8SIA6	3
GO:0006637	acyl-CoA metabolic process	2/79	93/18800	0.0583589738744511	0.251849019694639	0.2120227204222	ACSL6/ACOT9	2
GO:0006885	regulation of pH	2/79	93/18800	0.0583589738744511	0.251849019694639	0.2120227204222	SLC4A10/TMEM106B	2
GO:0035383	thioester metabolic process	2/79	93/18800	0.0583589738744511	0.251849019694639	0.2120227204222	ACSL6/ACOT9	2
GO:0002573	myeloid leukocyte differentiation	3/79	210/18800	0.0586030184244355	0.251849019694639	0.2120227204222	IL23R/TSPAN2/LILRB1	3
GO:0002690	positive regulation of leukocyte chemotaxis	2/79	94/18800	0.0594694611653782	0.251849019694639	0.2120227204222	CX3CR1/THBS1	2
GO:0048709	oligodendrocyte differentiation	2/79	94/18800	0.0594694611653782	0.251849019694639	0.2120227204222	TSPAN2/SOX13	2
GO:1901655	cellular response to ketone	2/79	94/18800	0.0594694611653782	0.251849019694639	0.2120227204222	PTGER4/AKR1C3	2
GO:1904035	regulation of epithelial cell apoptotic process	2/79	94/18800	0.0594694611653782	0.251849019694639	0.2120227204222	AKR1C3/THBS1	2
GO:0032956	regulation of actin cytoskeleton organization	4/79	352/18800	0.0608886933847057	0.251849019694639	0.2120227204222	PTGER4/PDGFRB/CARMIL3/DSTN	4
GO:0002468	dendritic cell antigen processing and presentation	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	THBS1	1
GO:0006570	tyrosine metabolic process	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	IL4I1	1
GO:0010755	regulation of plasminogen activation	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	THBS1	1
GO:0010763	positive regulation of fibroblast migration	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	THBS1	1
GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	IL23R	1
GO:0032905	transforming growth factor beta1 production	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	THBS1	1
GO:0033008	positive regulation of mast cell activation involved in immune response	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	FGR	1
GO:0034310	primary alcohol catabolic process	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	AKR1C3	1
GO:0043252	sodium-independent organic anion transport	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	SLCO4C1	1
GO:0043306	positive regulation of mast cell degranulation	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	FGR	1
GO:0045064	T-helper 2 cell differentiation	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	CD86	1
GO:0046834	lipid phosphorylation	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	DGKD	1
GO:0048172	regulation of short-term neuronal synaptic plasticity	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	SLC4A10	1
GO:0060049	regulation of protein glycosylation	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	TMEM59	1
GO:0060099	regulation of phagocytosis, engulfment	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	CD300A	1
GO:0071380	cellular response to prostaglandin E stimulus	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	PTGER4	1
GO:0072075	metanephric mesenchyme development	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	PDGFRB	1
GO:0090110	COPII-coated vesicle cargo loading	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	SEC31B	1
GO:0110156	methylguanosine-cap decapping	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	PATL2	1
GO:1905153	regulation of membrane invagination	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	CD300A	1
GO:2001256	regulation of store-operated calcium entry	1/79	15/18800	0.0612333142850239	0.251849019694639	0.2120227204222	CRACR2B	1
GO:0030316	osteoclast differentiation	2/79	96/18800	0.0617123177464662	0.25322331319442	0.21317968917608	IL23R/LILRB1	2
GO:0043491	protein kinase B signaling	3/79	216/18800	0.0626874380571378	0.25432339383429	0.214105807888918	CX3CR1/AKR1C3/THBS1	3
GO:0045807	positive regulation of endocytosis	2/79	97/18800	0.0628445288958123	0.25432339383429	0.214105807888918	DGKD/PPP3CC	2
GO:0071222	cellular response to lipopolysaccharide	3/79	217/18800	0.0633808379080918	0.25432339383429	0.214105807888918	CX3CR1/CD86/LILRB1	3
GO:0016575	histone deacetylation	2/79	98/18800	0.0639838240580016	0.25432339383429	0.214105807888918	ELK4/HOPX	2
GO:0050764	regulation of phagocytosis	2/79	99/18800	0.065130125459575	0.25432339383429	0.214105807888918	FGR/CD300A	2
GO:0001574	ganglioside biosynthetic process	1/79	16/18800	0.0651812817149668	0.25432339383429	0.214105807888918	ST8SIA6	1
GO:0009074	aromatic amino acid family catabolic process	1/79	16/18800	0.0651812817149668	0.25432339383429	0.214105807888918	IL4I1	1
GO:0009642	response to light intensity	1/79	16/18800	0.0651812817149668	0.25432339383429	0.214105807888918	RGS9	1
GO:0010919	regulation of inositol phosphate biosynthetic process	1/79	16/18800	0.0651812817149668	0.25432339383429	0.214105807888918	CD244	1
GO:0015867	ATP transport	1/79	16/18800	0.0651812817149668	0.25432339383429	0.214105807888918	SLC25A4	1
GO:0023035	CD40 signaling pathway	1/79	16/18800	0.0651812817149668	0.25432339383429	0.214105807888918	CD86	1
GO:0032095	regulation of response to food	1/79	16/18800	0.0651812817149668	0.25432339383429	0.214105807888918	NENF	1
GO:0035641	locomotory exploration behavior	1/79	16/18800	0.0651812817149668	0.25432339383429	0.214105807888918	SLC4A10	1
GO:0035751	regulation of lysosomal lumen pH	1/79	16/18800	0.0651812817149668	0.25432339383429	0.214105807888918	TMEM106B	1
GO:0042448	progesterone metabolic process	1/79	16/18800	0.0651812817149668	0.25432339383429	0.214105807888918	AKR1C3	1
GO:0048266	behavioral response to pain	1/79	16/18800	0.0651812817149668	0.25432339383429	0.214105807888918	THBS1	1
GO:0048385	regulation of retinoic acid receptor signaling pathway	1/79	16/18800	0.0651812817149668	0.25432339383429	0.214105807888918	AKR1C3	1
GO:0051014	actin filament severing	1/79	16/18800	0.0651812817149668	0.25432339383429	0.214105807888918	DSTN	1
GO:0072109	glomerular mesangium development	1/79	16/18800	0.0651812817149668	0.25432339383429	0.214105807888918	PDGFRB	1
GO:0072224	metanephric glomerulus development	1/79	16/18800	0.0651812817149668	0.25432339383429	0.214105807888918	PDGFRB	1
GO:0090336	positive regulation of brown fat cell differentiation	1/79	16/18800	0.0651812817149668	0.25432339383429	0.214105807888918	SOX13	1
GO:1903975	regulation of glial cell migration	1/79	16/18800	0.0651812817149668	0.25432339383429	0.214105807888918	CX3CR1	1
GO:0015711	organic anion transport	4/79	361/18800	0.065550221110122	0.254675289230577	0.214402056090779	SLC4A10/SLC25A4/SLCO4C1/SLC16A7	4
GO:0007596	blood coagulation	3/79	221/18800	0.0661902021606203	0.254675289230577	0.214402056090779	DGKD/RAP2B/THBS1	3
GO:1901992	positive regulation of mitotic cell cycle phase transition	2/79	100/18800	0.0662833558406784	0.254675289230577	0.214402056090779	CDC25B/ADAMTS1	2
GO:0042742	defense response to bacterium	4/79	364/18800	0.0671447425091109	0.254675289230577	0.214402056090779	FGR/IL23R/GNLY/PLAC8	4
GO:0046777	protein autophosphorylation	3/79	224/18800	0.068334451917371	0.254675289230577	0.214402056090779	FGR/RAP2B/PDGFRB	3
GO:0050920	regulation of chemotaxis	3/79	225/18800	0.0690562293695538	0.254675289230577	0.214402056090779	CX3CR1/PDGFRB/THBS1	3
GO:0002295	T-helper cell lineage commitment	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	IL23R	1
GO:0002544	chronic inflammatory response	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	THBS1	1
GO:0002830	positive regulation of type 2 immune response	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	CD86	1
GO:0006677	glycosylceramide metabolic process	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	B3GALT2	1
GO:0010566	regulation of ketone biosynthetic process	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	AKR1C3	1
GO:0010934	macrophage cytokine production	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	LILRB1	1
GO:0010935	regulation of macrophage cytokine production	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	LILRB1	1
GO:0016114	terpenoid biosynthetic process	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	AKR1C3	1
GO:0032604	granulocyte macrophage colony-stimulating factor production	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	IL23R	1
GO:0032645	regulation of granulocyte macrophage colony-stimulating factor production	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	IL23R	1
GO:0033623	regulation of integrin activation	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	PTGER4	1
GO:0044539	long-chain fatty acid import into cell	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	THBS1	1
GO:0051895	negative regulation of focal adhesion assembly	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	THBS1	1
GO:0070932	histone H3 deacetylation	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	ELK4	1
GO:0090036	regulation of protein kinase C signaling	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	DGKD	1
GO:0090713	immunological memory process	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	IL23R	1
GO:0097067	cellular response to thyroid hormone stimulus	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	GAS2L1	1
GO:0150118	negative regulation of cell-substrate junction organization	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	THBS1	1
GO:1900006	positive regulation of dendrite development	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	TMEM106B	1
GO:2000369	regulation of clathrin-dependent endocytosis	1/79	17/18800	0.0691128553278569	0.254675289230577	0.214402056090779	DGKD	1
GO:0050817	coagulation	3/79	226/18800	0.0697815005088048	0.254675289230577	0.214402056090779	DGKD/RAP2B/THBS1	3
GO:0006664	glycolipid metabolic process	2/79	103/18800	0.0697838559069039	0.254675289230577	0.214402056090779	B3GALT2/ST8SIA6	2
GO:0042102	positive regulation of T cell proliferation	2/79	103/18800	0.0697838559069039	0.254675289230577	0.214402056090779	IL23R/CD86	2
GO:0051963	regulation of synapse assembly	2/79	103/18800	0.0697838559069039	0.254675289230577	0.214402056090779	LRRN3/CLSTN3	2
GO:2001233	regulation of apoptotic signaling pathway	4/79	370/18800	0.0703943521623477	0.254675289230577	0.214402056090779	CX3CR1/SLC25A4/THBS1/INCA1	4
GO:0007599	hemostasis	3/79	227/18800	0.0705102531648442	0.254675289230577	0.214402056090779	DGKD/RAP2B/THBS1	3
GO:0014812	muscle cell migration	2/79	104/18800	0.0709640397801578	0.254675289230577	0.214402056090779	PDGFRB/ADAMTS1	2
GO:1903509	liposaccharide metabolic process	2/79	104/18800	0.0709640397801578	0.254675289230577	0.214402056090779	B3GALT2/ST8SIA6	2
GO:0071900	regulation of protein serine/threonine kinase activity	4/79	372/18800	0.0714954122819532	0.254675289230577	0.214402056090779	PDGFRB/THBS1/INCA1/CD300A	4
GO:0071219	cellular response to molecule of bacterial origin	3/79	229/18800	0.071978153948451	0.254675289230577	0.214402056090779	CX3CR1/CD86/LILRB1	3
GO:0006576	cellular biogenic amine metabolic process	2/79	105/18800	0.0721507739384201	0.254675289230577	0.214402056090779	ITGAM/IL4I1	2
GO:0006672	ceramide metabolic process	2/79	105/18800	0.0721507739384201	0.254675289230577	0.214402056090779	B3GALT2/ST8SIA6	2
GO:0046425	regulation of receptor signaling pathway via JAK-STAT	2/79	105/18800	0.0721507739384201	0.254675289230577	0.214402056090779	IL23R/CD300A	2
GO:1901890	positive regulation of cell junction assembly	2/79	105/18800	0.0721507739384201	0.254675289230577	0.214402056090779	LRRN3/CLSTN3	2
GO:2001234	negative regulation of apoptotic signaling pathway	3/79	230/18800	0.0727172773417227	0.254675289230577	0.214402056090779	CX3CR1/SLC25A4/THBS1	3
GO:0002281	macrophage activation involved in immune response	1/79	18/18800	0.0730281023293528	0.254675289230577	0.214402056090779	CX3CR1	1
GO:0002827	positive regulation of T-helper 1 type immune response	1/79	18/18800	0.0730281023293528	0.254675289230577	0.214402056090779	IL23R	1
GO:0010759	positive regulation of macrophage chemotaxis	1/79	18/18800	0.0730281023293528	0.254675289230577	0.214402056090779	THBS1	1
GO:0030889	negative regulation of B cell proliferation	1/79	18/18800	0.0730281023293528	0.254675289230577	0.214402056090779	CD300A	1
GO:0032026	response to magnesium ion	1/79	18/18800	0.0730281023293528	0.254675289230577	0.214402056090779	THBS1	1
GO:0035372	protein localization to microtubule	1/79	18/18800	0.0730281023293528	0.254675289230577	0.214402056090779	GAS2L1	1
GO:0036035	osteoclast development	1/79	18/18800	0.0730281023293528	0.254675289230577	0.214402056090779	LILRB1	1
GO:0048535	lymph node development	1/79	18/18800	0.0730281023293528	0.254675289230577	0.214402056090779	TOX	1
GO:0110154	RNA decapping	1/79	18/18800	0.0730281023293528	0.254675289230577	0.214402056090779	PATL2	1
GO:0140354	lipid import into cell	1/79	18/18800	0.0730281023293528	0.254675289230577	0.214402056090779	THBS1	1
GO:1902001	fatty acid transmembrane transport	1/79	18/18800	0.0730281023293528	0.254675289230577	0.214402056090779	THBS1	1
GO:2000319	regulation of T-helper 17 cell differentiation	1/79	18/18800	0.0730281023293528	0.254675289230577	0.214402056090779	IL23R	1
GO:0045088	regulation of innate immune response	3/79	231/18800	0.0734598327858199	0.254675289230577	0.214402056090779	FGR/CADM1/LILRB1	3
GO:0030900	forebrain development	4/79	376/18800	0.0737241640446559	0.254675289230577	0.214402056090779	SLC4A10/TOX/ITGAM/ADGRG1	4
GO:1902903	regulation of supramolecular fiber organization	4/79	376/18800	0.0737241640446559	0.254675289230577	0.214402056090779	PTGER4/SLAIN1/CARMIL3/DSTN	4
GO:0030004	cellular monovalent inorganic cation homeostasis	2/79	107/18800	0.0745435966534359	0.254675289230577	0.214402056090779	SLC4A10/TMEM106B	2
GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	2/79	107/18800	0.0745435966534359	0.254675289230577	0.214402056090779	CD86/THBS1	2
GO:0033002	muscle cell proliferation	3/79	233/18800	0.0749551895286972	0.254675289230577	0.214402056090779	PDGFRB/THBS1/ADAMTS1	3
GO:0045055	regulated exocytosis	3/79	234/18800	0.0757079654966896	0.254675289230577	0.214402056090779	FGR/ITGAM/CD300A	3
GO:0001829	trophectodermal cell differentiation	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	HOPX	1
GO:0002283	neutrophil activation involved in immune response	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	ITGAM	1
GO:0002888	positive regulation of myeloid leukocyte mediated immunity	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	ITGAM	1
GO:0006491	N-glycan processing	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	ST8SIA6	1
GO:0006837	serotonin transport	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	LILRB1	1
GO:0032930	positive regulation of superoxide anion generation	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	ITGAM	1
GO:0035338	long-chain fatty-acyl-CoA biosynthetic process	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	ACSL6	1
GO:0035795	negative regulation of mitochondrial membrane permeability	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	SLC25A4	1
GO:0042574	retinal metabolic process	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	AKR1C3	1
GO:0043652	engulfment of apoptotic cell	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	THBS1	1
GO:0045953	negative regulation of natural killer cell mediated cytotoxicity	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	LILRB1	1
GO:0055003	cardiac myofibril assembly	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	PDGFRB	1
GO:0055093	response to hyperoxia	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	PDGFRB	1
GO:0060546	negative regulation of necroptotic process	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	SLC25A4	1
GO:0060977	coronary vasculature morphogenesis	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	PDGFRB	1
GO:0061298	retina vasculature development in camera-type eye	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	PDGFRB	1
GO:0072074	kidney mesenchyme development	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	PDGFRB	1
GO:1901881	positive regulation of protein depolymerization	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	DSTN	1
GO:1905146	lysosomal protein catabolic process	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	TMEM106B	1
GO:2001185	regulation of CD8-positive, alpha-beta T cell activation	1/79	19/18800	0.0769270896531721	0.254675289230577	0.214402056090779	LILRB1	1
GO:0045444	fat cell differentiation	3/79	237/18800	0.0779865303168073	0.257296315420554	0.216608604695853	SOX13/PLAC8/TRIO	3
GO:0030148	sphingolipid biosynthetic process	2/79	110/18800	0.0781801179184031	0.257296315420554	0.216608604695853	B3GALT2/ST8SIA6	2
GO:0050900	leukocyte migration	4/79	384/18800	0.0782874246081526	0.257296315420554	0.216608604695853	CX3CR1/PTGER4/THBS1/CD300A	4
GO:0001676	long-chain fatty acid metabolic process	2/79	111/18800	0.0794046119885787	0.257296315420554	0.216608604695853	ACSL6/AKR1C3	2
GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	2/79	111/18800	0.0794046119885787	0.257296315420554	0.216608604695853	FGR/PDGFRB	2
GO:0009100	glycoprotein metabolic process	4/79	386/18800	0.0794501039526432	0.257296315420554	0.216608604695853	TMEM59/B3GALT2/ST8SIA6/B3GAT1	4
GO:0002577	regulation of antigen processing and presentation	1/79	20/18800	0.0808098839621761	0.257296315420554	0.216608604695853	THBS1	1
GO:0002716	negative regulation of natural killer cell mediated immunity	1/79	20/18800	0.0808098839621761	0.257296315420554	0.216608604695853	LILRB1	1
GO:0002837	regulation of immune response to tumor cell	1/79	20/18800	0.0808098839621761	0.257296315420554	0.216608604695853	IL4I1	1
GO:0042053	regulation of dopamine metabolic process	1/79	20/18800	0.0808098839621761	0.257296315420554	0.216608604695853	ITGAM	1
